FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,Salary
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,151.0,59000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Lukasz Piszczek,Igor Akinfeev,149.9,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Ali Gabr,Igor Akinfeev,149.3,57500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Youssouf Sabaly,Igor Akinfeev,149.0,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Kalidou Koulibaly,Igor Akinfeev,148.2,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Ahmed Hegazi,Wojciech Szczesny,148.1,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Ali Gabr,Igor Akinfeev,148.0,59000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Michal Pazdan,Igor Akinfeev,147.8,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Youssouf Sabaly,Igor Akinfeev,147.7,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Lukasz Piszczek,Wojciech Szczesny,147.0,58500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Lukasz Piszczek,Ali Gabr,Igor Akinfeev,146.9,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Lukasz Piszczek,Youssouf Sabaly,Igor Akinfeev,146.6,60000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Michal Pazdan,Igor Akinfeev,146.5,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Cheikhou Kouyate,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,146.4,59000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Piotr Zielinski,Sergei Ignashevich,Ali Gabr,Igor Akinfeev,146.3,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Youssouf Sabaly,Wojciech Szczesny,146.1,57000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ali Gabr,Youssouf Sabaly,Igor Akinfeev,146.0,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Yuri Zhirkov,Igor Akinfeev,145.9,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Kamil Grosicki,Piotr Zielinski,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,145.8,60000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Lukasz Piszczek,Wojciech Szczesny,145.7,60000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Lukasz Piszczek,Michal Pazdan,Igor Akinfeev,145.4,60000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Sergei Ignashevich,Kalidou Koulibaly,Wojciech Szczesny,145.3,57000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ali Gabr,Kalidou Koulibaly,Igor Akinfeev,145.2,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Ali Gabr,Wojciech Szczesny,145.1,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Karol Linetty,Sergei Ignashevich,Lukasz Piszczek,Igor Akinfeev,145.0,59500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Youssouf Sabaly,Kalidou Koulibaly,Igor Akinfeev,144.9,58500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Piotr Zielinski,Sergei Ignashevich,Michal Pazdan,Igor Akinfeev,144.8,60000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Cheikhou Kouyate,Sergei Ignashevich,Ali Gabr,Igor Akinfeev,144.7,57500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Yuri Zhirkov,Igor Akinfeev,144.6,59500
Robert Lewandowski,Sadio Mane,Aleksandr Samedov,Kamil Grosicki,Piotr Zielinski,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,144.5,58500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Cheikhou Kouyate,Sergei Ignashevich,Youssouf Sabaly,Igor Akinfeev,144.4,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Kamil Grosicki,Cheikhou Kouyate,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,144.2,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Karol Linetty,Sergei Ignashevich,Youssouf Sabaly,Igor Akinfeev,144.1,58000
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Aleksandr Samedov,Kamil Grosicki,Ahmed Hegazi,Kalidou Koulibaly,Wojciech Szczesny,144.0,58500
Robert Lewandowski,Sadio Mane,Denis Cheryshev,Kamil Grosicki,Karol Linetty,Sergei Ignashevich,Ahmed Hegazi,Igor Akinfeev,143.9,58000
