"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26510-83698","FWD","Andy","Andy Polo","Polo","0","0","5500","PER@FRA","PER","FRA","","","",""
"26510-83704","MID","Pedro","Pedro Aquino","Aquino","1.2999999523162842","1","5500","PER@FRA","PER","FRA","","","",""
"26510-83849","DEF","Ivan","Ivan Strinic","Strinic","18","1","5000","CRO@ARG","CRO","ARG","","","",""
"26510-84167","MID","Enzo","Enzo Perez","Perez","0","0","5000","CRO@ARG","ARG","CRO","","","",""
"26510-83788","MID","Florian","Florian Thauvin","Thauvin","0","0","5000","PER@FRA","FRA","PER","","","",""
"26510-83791","DEF","Samuel","Samuel Umtiti","Umtiti","7.800000190734863","1","5000","PER@FRA","FRA","PER","","","",""
"26510-83695","MID","Paolo","Paolo Hurtado","Hurtado","0","0","5000","PER@FRA","PER","FRA","","","",""
"26510-83697","DEF","Christian","Christian Ramos","Ramos","9.100000381469727","1","5000","PER@FRA","PER","FRA","","","",""
"26510-83838","MID","Milan","Milan Badelj","Badelj","0","0","5000","CRO@ARG","CRO","ARG","","","",""
"26510-83456","DEF","Nicolas","Nicolas Tagliafico","Tagliafico","9","1","4500","CRO@ARG","ARG","CRO","","","",""
"26510-83855","DEF","Sime","Sime Vrsaljko","Vrsaljko","14.100000381469727","1","4500","CRO@ARG","CRO","ARG","","","",""
"26510-84285","MID","Wilder","Wilder Cartagena","Cartagena","0","0","4500","PER@FRA","PER","FRA","","","",""
"26510-83787","DEF","Benjamin","Benjamin Pavard","Pavard","12.100000381469727","1","4500","PER@FRA","FRA","PER","","","",""
"26510-83789","DEF","Lucas","Lucas Hernandez","Hernandez","2.5999999046325684","1","4500","PER@FRA","FRA","PER","","","",""
"26510-83797","DEF","Djibril","Djibril Sidibe","Sidibe","0","0","4500","PER@FRA","FRA","PER","GTD","Knee","",""
"26510-83690","DEF","Alberto","Alberto Rodriguez","Rodriguez","11.699999809265137","1","4500","PER@FRA","PER","FRA","","","",""
"26510-83436","DEF","Gabriel","Gabriel Mercado","Mercado","0","0","4500","CRO@ARG","ARG","CRO","","","",""
"26510-83447","DEF","Federico","Federico Fazio","Fazio","0","0","4500","CRO@ARG","ARG","CRO","","","",""
"26510-83832","DEF","Domagoj","Domagoj Vida","Vida","16.700000762939453","1","4500","CRO@ARG","CRO","ARG","","","",""
"26510-83835","GK","Danijel","Danijel Subasic","Subasic","23","1","4500","CRO@ARG","CRO","ARG","","","",""
"26510-83836","MID","Filip","Filip Bradaric","Bradaric","0","0","4500","CRO@ARG","CRO","ARG","","","",""
"26510-83457","GK","Nahuel","Nahuel Guzman","Guzman","0","0","4000","CRO@ARG","ARG","CRO","","","",""
"26510-83842","DEF","Vedran","Vedran Corluka","Corluka","0","0","4000","CRO@ARG","CRO","ARG","","","",""
"26510-83848","DEF","Josip","Josip Pivaric","Pivaric","0","0","4000","CRO@ARG","CRO","ARG","","","",""
"26510-84369","DEF","Adil","Adil Rami","Rami","0","0","4000","PER@FRA","FRA","PER","","","",""
"26510-84368","DEF","Benjamin","Benjamin Mendy","Mendy","0","0","4000","PER@FRA","FRA","PER","","","",""
"26510-84284","GK","Pedro","Pedro Gallese","Gallese","3.5","1","4000","PER@FRA","PER","FRA","","","",""
"26510-84164","DEF","Cristian","Cristian Ansaldi","Ansaldi","0","0","4000","CRO@ARG","ARG","CRO","","","",""
"26510-84166","GK","Franco","Franco Armani","Armani","0","0","4000","CRO@ARG","ARG","CRO","","","",""
"26510-83808","DEF","Presnel","Presnel Kimpembe","Kimpembe","0","0","4000","PER@FRA","FRA","PER","","","",""
"26510-84215","DEF","Duje","Duje Caleta-Car","Caleta-Car","0","0","4000","CRO@ARG","CRO","ARG","","","",""
"26510-83839","DEF","Tin","Tin Jedvaj","Jedvaj","0","0","4000","CRO@ARG","CRO","ARG","","","",""
"26510-83851","GK","Lovre","Lovre Kalinic","Kalinic","0","0","3500","CRO@ARG","CRO","ARG","","","",""
"26510-83793","GK","Alphonse","Alphonse Areola","Areola","0","0","3500","PER@FRA","FRA","PER","","","",""
"26510-83796","GK","Steve","Steve Mandanda","Mandanda","0","0","3500","PER@FRA","FRA","PER","","","",""
"26510-83692","DEF","Miguel","Miguel Araujo","Araujo","0","0","3500","PER@FRA","PER","FRA","","","",""
"26510-83701","GK","Carlos","Carlos Caceda","Caceda","0","0","3500","PER@FRA","PER","FRA","","","",""
"26510-83700","DEF","Nilson","Nilson Loyola","Loyola","0","0","3500","PER@FRA","PER","FRA","","","",""
"26510-83833","GK","Dominik","Dominik Livakovic","Livakovic","0","0","3500","CRO@ARG","CRO","ARG","","","",""
"26510-83706","GK","Jose","Jose Carvallo","Carvallo","0","0","3500","PER@FRA","PER","FRA","","","",""
"26510-83710","DEF","Aldo","Aldo Corzo","Corzo","0","0","3500","PER@FRA","PER","FRA","","","",""
