"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26464-83910","FWD","Robert","Robert Lewandowski","Lewandowski","0","0","12000","SEN@POL","POL","SEN","","","",""
"26464-83987","FWD","Mohamed","Mohamed Salah","Salah Ghaly","0","0","11000","EGY@RUS","EGY","RUS","GTD","Shoulder","",""
"26464-83684","MID","Aleksandr","Aleksandr Golovin","Golovin","56.79999923706055","1","10000","EGY@RUS","RUS","EGY","","","",""
"26464-83932","FWD","Arkadiusz","Arkadiusz Milik","Milik","0","0","9500","SEN@POL","POL","SEN","","","",""
"26464-83973","MID","Mahmoud Ibrahim","Trezeguet","Hassan","15.399999618530273","1","9000","EGY@RUS","EGY","RUS","","","",""
"26464-83564","FWD","Sadio","Sadio Mane","Mane","0","0","9000","SEN@POL","SEN","POL","","","",""
"26464-83665","MID","Roman","Roman Zobnin","Zobnin","28.399999618530273","1","8500","EGY@RUS","RUS","EGY","","","",""
"26464-83928","MID","Grzegorz","Grzegorz Krychowiak","Krychowiak","0","0","8500","SEN@POL","POL","SEN","","","",""
"26464-83683","FWD","Fedor","Fedor Smolov","Smolov","6","1","8500","EGY@RUS","RUS","EGY","","","",""
"26464-83685","MID","Denis","Denis Cheryshev","Cheryshev","47.599998474121094","1","8500","EGY@RUS","RUS","EGY","","","",""
"26464-83916","MID","Piotr","Piotr Zielinski","Zielinski","0","0","8000","SEN@POL","POL","SEN","","","",""
"26464-83567","FWD","Keita","Keita","Balde Diao","0","0","8000","SEN@POL","SEN","POL","","","",""
"26464-83573","MID","Idrissa","Idrissa Gueye","Gueye","0","0","8000","SEN@POL","SEN","POL","","","",""
"26464-83972","MID","Abdallah Mahmoud","Abdallah El Said","El Said","5.199999809265137","1","7500","EGY@RUS","EGY","RUS","","","",""
"26464-84148","MID","Jakub","Jakub Blaszczykowski","Blaszczykowski","0","0","7500","SEN@POL","POL","SEN","","","",""
"26464-84083","MID","Yuri","Yuri Gazinskiy","Gazinskiy","25.200000762939453","1","7500","EGY@RUS","RUS","EGY","","","",""
"26464-83971","MID","Mohamed Naser","Mohamed Elneny","El Sayed Elneny","6.900000095367432","1","7000","EGY@RUS","EGY","RUS","","","",""
"26464-83985","MID","Amr Medhat","Amr Warda","Warda","9.899999618530273","1","7000","EGY@RUS","EGY","RUS","","","",""
"26464-83912","FWD","Lukasz","Lukasz Teodorczyk","Teodorczyk","0","0","7000","SEN@POL","POL","SEN","","","",""
"26464-83666","MID","Alan","Alan Dzagoev","Dzagoev","0","1","7000","EGY@RUS","RUS","EGY","GTD","Hamstring","",""
"26464-83681","MID","Aleksandr","Aleksandr Samedov","Samedov","6.900000095367432","1","7000","EGY@RUS","RUS","EGY","","","",""
"26464-83560","MID","Papa Alioune","Badou Ndiaye","Ndiaye","0","0","7000","SEN@POL","SEN","POL","","","",""
"26464-83565","FWD","Moussa","Moussa Konate","Konate","0","0","7000","SEN@POL","SEN","POL","","","",""
"26464-83961","FWD","Marwan Mohsen","Marwan Mohsen","Fahmy Tharwat","5","1","7000","EGY@RUS","EGY","RUS","","","",""
"26464-83986","MID","Tarek","Tarek Hamed","Hamed","3.9000000953674316","1","6500","EGY@RUS","EGY","RUS","","","",""
"26464-83913","MID","Rafal","Rafal Kurzawa","Kurzawa","0","0","6500","SEN@POL","POL","SEN","","","",""
"26464-83915","FWD","Dawid","Dawid Kownacki","Kownacki","0","0","6500","SEN@POL","POL","SEN","","","",""
"26464-83925","DEF","Lukasz","Lukasz Piszczek","Piszczek","0","0","6500","SEN@POL","POL","SEN","","","",""
"26464-83677","FWD","Aleksey","Aleksey Miranchuk","Miranchuk","0","0","6500","EGY@RUS","RUS","EGY","","","",""
"26464-83563","FWD","Diafra","Diafra Sakho","Sakho","0","0","6500","SEN@POL","SEN","POL","","","",""
"26464-83569","FWD","Moussa","Moussa Sow","Sow","0","0","6500","SEN@POL","SEN","POL","","","",""
"26464-84088","FWD","Artem","Artem Dzyuba","Dzyuba","30","1","6500","EGY@RUS","RUS","EGY","","","",""
"26464-83975","DEF","Ahmed El-Sayed","Ahmed Hegazi","Hegazi","16.899999618530273","1","6000","EGY@RUS","EGY","RUS","","","",""
"26464-83981","MID","Sam Sayed","Sam Morsy","Morsy","7.800000190734863","1","6000","EGY@RUS","EGY","RUS","","","",""
"26464-84156","MID","Karol","Karol Linetty","Linetty","0","0","6000","SEN@POL","POL","SEN","","","",""
"26464-83911","DEF","Kamil","Kamil Glik","Glik","0","0","6000","SEN@POL","POL","SEN","GTD","Shoulder","",""
"26464-83663","GK","Igor","Igor Akinfeev","Akinfeev","17","1","6000","EGY@RUS","RUS","EGY","","","",""
"26464-83930","MID","Kamil","Kamil Grosicki","Grosicki","0","0","6000","SEN@POL","POL","SEN","","","",""
"26464-83557","MID","Cheikhou","Cheikhou Kouyate","Kouyate","0","0","6000","SEN@POL","SEN","POL","","","",""
"26464-83581","FWD","Mame Biram","Mame Biram Diouf","Diouf","0","0","6000","SEN@POL","SEN","POL","","","",""
"26464-83982","DEF","Ahmed Fathi","Ahmed Fathy","Ahmed Ibrahim","23.600000381469727","1","5500","EGY@RUS","EGY","RUS","","","",""
"26464-83919","MID","Jacek","Jacek Goralski","Goralski","0","0","5500","SEN@POL","POL","SEN","","","",""
"26464-83672","MID","Aleksandr","Aleksandr Erokhin","Erokhin","0","0","5500","EGY@RUS","RUS","EGY","","","",""
"26464-83675","MID","Anton","Anton Miranchuk","Miranchuk","0","0","5500","EGY@RUS","RUS","EGY","","","",""
"26464-83686","MID","Daler","Daler Kuzyaev","Kuzyaev","1.2999999523162842","1","5500","EGY@RUS","RUS","EGY","","","",""
"26464-83579","FWD","M'Baye","M'Baye Niang","Niang","0","0","5500","SEN@POL","SEN","POL","","","",""
"26464-83580","DEF","Salif","Salif Sane","Sane","0","0","5500","SEN@POL","SEN","POL","","","",""
"26464-83964","MID","Ramadan","Ramadan Sobhi","Sobhi Ahmed","1.2999999523162842","1","5500","EGY@RUS","EGY","RUS","","","",""
"26464-83976","FWD","Mahmoud","Kahraba","Abdel-Moneim Soliman","0","1","5000","EGY@RUS","EGY","RUS","","","",""
"26464-84157","DEF","Bartosz","Bartosz Bereszynski","Bereszynski","0","0","5000","SEN@POL","POL","SEN","","","",""
"26464-83917","DEF","Michal","Michal Pazdan","Pazdan","0","0","5000","SEN@POL","POL","SEN","","","",""
"26464-83923","MID","Slawomir","Slawomir Peszko","Peszko","0","0","5000","SEN@POL","POL","SEN","","","",""
"26464-83669","DEF","Yuri","Yuri Zhirkov","Zhirkov","12.800000190734863","1","5000","EGY@RUS","RUS","EGY","","","",""
"26464-83926","GK","Wojciech","Wojciech Szczesny","Szczesny","0","0","5000","SEN@POL","POL","SEN","","","",""
"26464-83934","DEF","Maciej","Maciej Rybus","Rybus","0","0","5000","SEN@POL","POL","SEN","","","",""
"26464-83680","DEF","Ilya","Ilya Kutepov","Kutepov","16.700000762939453","1","5000","EGY@RUS","RUS","EGY","","","",""
"26464-83559","MID","Alfred","Alfred N'Diaye","N'Diaye","0","0","5000","SEN@POL","SEN","POL","","","",""
"26464-83568","DEF","Kalidou","Kalidou Koulibaly","Koulibaly","0","0","5000","SEN@POL","SEN","POL","","","",""
"26464-83577","MID","Ismaila","Ismaila Sarr","Sarr","0","0","5000","SEN@POL","SEN","POL","","","",""
"26464-83576","DEF","Youssouf","Youssouf Sabaly","Sabaly","0","0","5000","SEN@POL","SEN","POL","","","",""
"26464-83967","DEF","Mohamed Abdul","Mohamed Shafy","Shafy","7.800000190734863","1","5000","EGY@RUS","EGY","RUS","","","",""
"26464-83974","DEF","Ali","Ali Gabr","Gabr Mossad","9.100000381469727","1","4500","EGY@RUS","EGY","RUS","","","",""
"26464-83984","MID","Mahmoud Abdel","Shikabala","Razek Fadlalla","0","0","4500","EGY@RUS","EGY","RUS","","","",""
"26464-83933","DEF","Artur","Artur Jedrzejczyk","Jedrzejczyk","0","0","4500","SEN@POL","POL","SEN","","","",""
"26464-83556","MID","Cheikh","Cheikh N'Doye","N'Doye","0","0","4500","SEN@POL","SEN","POL","","","",""
"26464-83558","GK","Khadim","Khadim N'Diaye","N'Diaye","0","0","4500","SEN@POL","SEN","POL","","","",""
"26464-84198","DEF","Sergei","Sergei Ignashevich","Ignashevich","15.399999618530273","1","4500","EGY@RUS","RUS","EGY","","","",""
"26464-84090","DEF","Mario","Mario Fernandes","Figueira Fernandes","17.100000381469727","1","4500","EGY@RUS","RUS","EGY","","","",""
"26464-83582","DEF","Lamine","Lamine Gassama","Gassama","0","0","4500","SEN@POL","SEN","POL","","","",""
"26464-83968","DEF","Saad El-Din","Saad Samir","Samir","0","0","4000","EGY@RUS","EGY","RUS","","","",""
"26464-84365","DEF","Serigne Modou","Kara","Kara Mbodji","0","0","4000","SEN@POL","SEN","POL","","","",""
"26464-83983","DEF","Omar Mahmoud","Omar Gaber","Sayed Gaber","0","0","4000","EGY@RUS","EGY","RUS","","","",""
"26464-84153","DEF","Jan","Jan Bednarek","Bednarek","0","0","4000","SEN@POL","POL","SEN","","","",""
"26464-83920","GK","Lukasz","Lukasz Fabianski","Fabianski","0","0","4000","SEN@POL","POL","SEN","","","",""
"26464-83668","GK","Andrey","Andrey Lunev","Lunev","0","0","4000","EGY@RUS","RUS","EGY","","","",""
