FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,Salary
Cristiano Ronaldo,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,131.9,60000
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,131.8,58000
Cristiano Ronaldo,Edinson Cavani,Isco,Matias Vecino,Mohamed Elneny,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,131.7,59500
Edinson Cavani,Sardar Azmoun,Isco,Rodrigo Bentancur,Joao Mario,Achraf Hakimi,Jose Maria Gimenez,Fernando Muslera,131.6,58500
Luis Suarez,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,131.5,59500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Mehdi Benatia,Martin Caceres,Munir Mohand Mohamedi,131.4,57000
Edinson Cavani,Sardar Azmoun,David Silva,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Martin Caceres,Munir Mohand Mohamedi,131.3,59500
Luis Suarez,Sardar Azmoun,Isco,Hakim Ziyech,Giorgian De Arrascaeta,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,131.2,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Giorgian De Arrascaeta,Mehdi Benatia,Martin Caceres,Fernando Muslera,131.1,59500
Luis Suarez,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Achraf Hakimi,Ali Gabr,Fernando Muslera,131.0,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Guillermo Varela,Munir Mohand Mohamedi,130.9,60000
Edinson Cavani,Sardar Azmoun,David Silva,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Ahmed Hegazi,Munir Mohand Mohamedi,130.8,59500
Sardar Azmoun,Mehdi Taremi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,130.7,58000
Cristiano Ronaldo,Karim Ansarifard,Isco,David Silva,Hakim Ziyech,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,130.6,60000
Cristiano Ronaldo,Andre Silva,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Ahmed Hegazi,Fernando Muslera,130.5,60000
Cristiano Ronaldo,Mehdi Taremi,Isco,Hakim Ziyech,Matias Vecino,Jordi Alba,Mehdi Benatia,Fernando Muslera,130.4,59500
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Jose Maria Gimenez,Cedric Soares,Fernando Muslera,130.3,58500
Edinson Cavani,Sardar Azmoun,Hakim Ziyech,Bernardo Silva,Matias Vecino,Achraf Hakimi,Ahmed Hegazi,Munir Mohand Mohamedi,130.2,58500
Edinson Cavani,Sardar Azmoun,Hakim Ziyech,Ricardo Quaresma,Matias Vecino,Mehdi Benatia,Ahmed Hegazi,Fernando Muslera,130.1,59000
Cristiano Ronaldo,Sardar Azmoun,Hakim Ziyech,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,130.0,59500
Edinson Cavani,Sardar Azmoun,Hakim Ziyech,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Jordi Alba,Munir Mohand Mohamedi,129.9,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Giorgian De Arrascaeta,Achraf Hakimi,Ali Gabr,Fernando Muslera,129.8,59500
Sardar Azmoun,Andre Silva,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,129.7,58500
Luis Suarez,Sardar Azmoun,Isco,David Silva,Matias Vecino,Mehdi Benatia,Ali Gabr,Munir Mohand Mohamedi,129.6,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Giorgian De Arrascaeta,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,129.5,59500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Sergio Busquets,Mehdi Benatia,Pepe,Fernando Muslera,129.4,60000
Cristiano Ronaldo,Andre Silva,Isco,Matias Vecino,Joao Mario,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,129.3,58500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Mehdi Benatia,Ali Gabr,Munir Mohand Mohamedi,129.2,56000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,William Carvalho,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,129.1,57500
Edinson Cavani,Karim Ansarifard,David Silva,Hakim Ziyech,Bernardo Silva,Achraf Hakimi,Jose Maria Gimenez,Fernando Muslera,129.0,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Ricardo Quaresma,Matias Vecino,Mehdi Benatia,Guillermo Varela,Munir Mohand Mohamedi,128.9,60000
Cristiano Ronaldo,Andre Silva,Isco,Bernardo Silva,Matias Vecino,Mehdi Benatia,Guillermo Varela,Fernando Muslera,128.8,60000
Edinson Cavani,Andre Silva,Isco,Bernardo Silva,Matias Vecino,Mehdi Benatia,Guillermo Varela,Fernando Muslera,128.7,58000
Cristiano Ronaldo,Andre Silva,Isco,Bernardo Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,128.6,59500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Andres Iniesta,Mehdi Benatia,Martin Caceres,Munir Mohand Mohamedi,128.5,60000
Edinson Cavani,Sardar Azmoun,Isco,Ricardo Quaresma,Matias Vecino,Martin Caceres,Guillermo Varela,Munir Mohand Mohamedi,128.4,59500
Edinson Cavani,Andre Silva,Isco,Bernardo Silva,Matias Vecino,Martin Caceres,Guillermo Varela,Fernando Muslera,128.3,59500
Cristiano Ronaldo,Sardar Azmoun,Bernardo Silva,Matias Vecino,Rodrigo Bentancur,Mehdi Benatia,Gerard Pique,Fernando Muslera,128.2,58000
Cristiano Ronaldo,Sardar Azmoun,Hakim Ziyech,Matias Vecino,Andres Iniesta,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,128.1,60000
Cristiano Ronaldo,Andre Silva,Isco,Hakim Ziyech,Matias Vecino,Jose Maria Gimenez,Gerard Pique,Munir Mohand Mohamedi,128.0,59000
Cristiano Ronaldo,Karim Ansarifard,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,127.9,55500
Cristiano Ronaldo,Edinson Cavani,Matias Vecino,Rodrigo Bentancur,Sergio Busquets,Mehdi Benatia,Gerard Pique,Fernando Muslera,127.8,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Andres Iniesta,Mehdi Benatia,Jose Maria Gimenez,Munir Mohand Mohamedi,127.7,58500
Cristiano Ronaldo,Edinson Cavani,Matias Vecino,Rodrigo Bentancur,William Carvalho,Jose Maria Gimenez,Gerard Pique,Fernando Muslera,127.6,60000
Cristiano Ronaldo,Karim Ansarifard,Isco,Hakim Ziyech,Ricardo Quaresma,Jose Maria Gimenez,Martin Caceres,Fernando Muslera,127.5,60000
Luis Suarez,Sardar Azmoun,Isco,Matias Vecino,Nahitan Nandez,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,127.4,56500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Andres Iniesta,Jose Maria Gimenez,Martin Caceres,Munir Mohand Mohamedi,127.3,60000
Cristiano Ronaldo,Karim Ansarifard,Isco,Bernardo Silva,Ricardo Quaresma,Jordi Alba,Mehdi Benatia,Fernando Muslera,127.2,60000
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,Alireza Beiranvand,127.1,60000
Edinson Cavani,Mehdi Taremi,Hakim Ziyech,Bernardo Silva,Ricardo Quaresma,Mehdi Benatia,Pepe,Fernando Muslera,127.0,60000
Cristiano Ronaldo,Mehdi Taremi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Cedric Soares,Fernando Muslera,126.9,59500
Luis Suarez,Mehdi Taremi,Isco,Ricardo Quaresma,Matias Vecino,Jordi Alba,Martin Caceres,Fernando Muslera,126.8,60000
Luis Suarez,Andre Silva,Isco,Rodrigo Bentancur,Giorgian De Arrascaeta,Achraf Hakimi,Martin Caceres,Fernando Muslera,126.7,60000
Edinson Cavani,Karim Ansarifard,Isco,Hakim Ziyech,Ricardo Quaresma,Martin Caceres,Pepe,Fernando Muslera,126.6,59500
Cristiano Ronaldo,Karim Ansarifard,Isco,Hakim Ziyech,Matias Vecino,Sergio Ramos,Jordi Alba,Munir Mohand Mohamedi,126.5,59500
Edinson Cavani,Mehdi Taremi,Hakim Ziyech,Matias Vecino,Rodrigo Bentancur,Achraf Hakimi,Martin Caceres,Fernando Muslera,126.4,56000
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Rodrigo Bentancur,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,126.3,59000
