"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26509-83450","MID","Lionel","Lionel Messi","Messi","26.600000381469727","1","12500","CRO@ARG","ARG","CRO","","","",""
"26509-83806","FWD","Antoine","Antoine Griezmann","Griezmann","30","1","11500","PER@FRA","FRA","PER","","","",""
"26509-83453","FWD","Sergio","Sergio Aguero","Aguero","26.899999618530273","1","11000","CRO@ARG","ARG","CRO","","","",""
"26509-83721","MID","Christian","Christian Eriksen","Eriksen","26.200000762939453","1","10000","AUS@DEN","DEN","AUS","","","",""
"26509-83790","FWD","Kylian","Kylian Mbappe","Mbappe","12.300000190734863","1","9500","PER@FRA","FRA","PER","","","",""
"26509-83452","FWD","Gonzalo","Gonzalo Higuain","Higuain","0","1","9500","CRO@ARG","ARG","CRO","","","",""
"26509-83785","MID","Paul","Paul Pogba","Pogba","9.300000190734863","1","9000","PER@FRA","FRA","PER","","","",""
"26509-83841","FWD","Mario","Mario Mandzukic","Mandzukic","12.899999618530273","1","9000","CRO@ARG","CRO","ARG","","","",""
"26509-83798","FWD","Ousmane","Ousmane Dembele","Dembele","6.900000095367432","1","8500","PER@FRA","FRA","PER","","","",""
"26509-84160","FWD","Paulo","Paulo Dybala","Dybala","0","0","8500","CRO@ARG","ARG","CRO","","","",""
"26509-83445","MID","Eduardo","Eduardo Salvio","Salvio","20.700000762939453","1","8500","CRO@ARG","ARG","CRO","","","",""
"26509-84220","MID","Luka","Luka Modric","Modric","26.5","1","8500","CRO@ARG","CRO","ARG","","","",""
"26509-83713","FWD","Jefferson","Jefferson Farfan","Farfan","7.599999904632568","1","8000","PER@FRA","PER","FRA","","","",""
"26509-83733","FWD","Yussuf","Yussuf Poulsen","Poulsen","26.5","1","8000","AUS@DEN","DEN","AUS","","","",""
"26509-83734","FWD","Pione","Pione Sisto","Sisto","3.9000000953674316","1","8000","AUS@DEN","DEN","AUS","","","",""
"26509-83799","MID","Thomas","Thomas Lemar","Lemar","0","0","8000","PER@FRA","FRA","PER","","","",""
