FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,Salary
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-84198,26464-83975,26464-83926,148.1,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83974,26464-83663,148.0,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83576,26464-83663,147.7,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83925,26464-83974,26464-83663,146.9,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83925,26464-83576,26464-83663,146.6,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83917,26464-83663,146.5,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-84198,26464-83974,26464-83926,146.4,56500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-84198,26464-83576,26464-83926,146.1,57000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83974,26464-83576,26464-83663,146.0,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83967,26464-83663,145.8,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-84198,26464-83568,26464-83926,145.3,57000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83974,26464-83568,26464-83663,145.2,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83974,26464-83926,145.1,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83576,26464-83568,26464-83663,144.9,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83974,26464-83917,26464-83663,144.8,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83925,26464-83967,26464-83663,144.7,60000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83573,26464-84198,26464-83975,26464-83663,144.5,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83934,26464-83663,144.4,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-84198,26464-83967,26464-83926,144.2,57000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-84198,26464-83975,26464-83663,144.1,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83568,26464-83926,144.0,58500
26464-83910,26464-83564,26464-83685,26464-83930,26464-84156,26464-84198,26464-83975,26464-83663,143.9,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83576,26464-83967,26464-83663,143.8,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83568,26464-83917,26464-83663,143.7,58500
26464-83910,26464-83987,26464-83685,26464-83681,26464-83930,26464-84198,26464-83975,26464-83926,143.5,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83916,26464-84198,26464-83974,26464-83926,143.4,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-84198,26464-83975,26464-83926,143.2,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-83975,26464-83974,26464-83663,143.1,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83568,26464-83967,26464-83663,143.0,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83975,26464-83967,26464-83926,142.9,58500
26464-83910,26464-83564,26464-83685,26464-83930,26464-83916,26464-83975,26464-83974,26464-83663,142.8,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83974,26464-83934,26464-83663,142.7,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83917,26464-83967,26464-83663,142.6,58500
26464-83910,26464-83564,26464-83685,26464-83930,26464-83973,26464-84198,26464-83975,26464-83926,142.5,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83576,26464-83934,26464-83663,142.4,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-83925,26464-83974,26464-83663,142.3,59500
26464-83910,26464-83564,26464-83685,26464-83930,26464-84156,26464-84198,26464-83974,26464-83663,142.2,56500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83916,26464-83975,26464-83974,26464-83926,142.1,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-83925,26464-83576,26464-83663,142.0,60000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83916,26464-84198,26464-83967,26464-83663,141.9,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-84198,26464-83974,26464-83926,141.8,56500
26464-83910,26464-83564,26464-83685,26464-83930,26464-83573,26464-84198,26464-83568,26464-83663,141.7,59000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83573,26464-84198,26464-83975,26464-83926,141.6,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83973,26464-84198,26464-83917,26464-83926,141.5,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-83974,26464-83576,26464-83663,141.4,58000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-84198,26464-83568,26464-83663,141.3,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83974,26464-83967,26464-83926,141.2,57000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-83975,26464-83974,26464-83663,141.1,59500
26464-83910,26464-83564,26464-83685,26464-83930,26464-83557,26464-84198,26464-83917,26464-83663,141.0,57000
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-83925,26464-83568,26464-83663,140.9,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83973,26464-84198,26464-83967,26464-83926,140.8,60000
26464-83910,26464-83987,26464-83685,26464-83681,26464-83930,26464-84198,26464-83568,26464-83926,140.7,59000
26464-83910,26464-83987,26464-83685,26464-83681,26464-83930,26464-83974,26464-83568,26464-83663,140.6,60000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83684,26464-84198,26464-83975,26464-83926,140.5,59500
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-84198,26464-83568,26464-83926,140.4,57000
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-83974,26464-83568,26464-83663,140.3,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-83975,26464-83974,26464-83926,140.2,58000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83930,26464-83568,26464-83967,26464-83926,140.1,57500
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-83925,26464-83974,26464-83663,140.0,60000
26464-83910,26464-83564,26464-83685,26464-83681,26464-84156,26464-83975,26464-83576,26464-83926,139.9,58500
26464-83910,26464-83564,26464-83685,26464-83930,26464-83557,26464-83925,26464-83576,26464-83663,139.8,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83973,26464-83974,26464-83576,26464-83926,139.7,60000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83557,26464-84198,26464-83974,26464-83926,139.6,55500
26464-83910,26464-83564,26464-83685,26464-83916,26464-83557,26464-84198,26464-83974,26464-83663,139.5,58500
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-83925,26464-83974,26464-83926,139.4,58500
26464-83910,26464-83961,26464-83685,26464-83681,26464-83930,26464-83975,26464-83974,26464-83663,139.3,57000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83973,26464-83974,26464-83917,26464-83663,139.2,60000
26464-83910,26464-83564,26464-83685,26464-83973,26464-83557,26464-84198,26464-83974,26464-83663,139.1,59500
26464-83910,26464-83961,26464-83685,26464-83681,26464-83930,26464-83975,26464-83576,26464-83663,139.0,57500
26464-83564,26464-83987,26464-83685,26464-83681,26464-83930,26464-83925,26464-83974,26464-83663,138.9,58500
26464-83910,26464-83564,26464-83685,26464-83973,26464-84156,26464-84198,26464-83974,26464-83663,138.8,59500
26464-83910,26464-83564,26464-83681,26464-83930,26464-83573,26464-83975,26464-83917,26464-83663,138.7,59000
26464-83910,26464-83564,26464-83681,26464-83573,26464-83557,26464-84198,26464-83975,26464-83663,138.6,58500
26464-83910,26464-83564,26464-83685,26464-83973,26464-84156,26464-84198,26464-83576,26464-83663,138.5,60000
26464-83564,26464-83987,26464-83685,26464-83681,26464-83930,26464-84198,26464-83974,26464-83926,138.4,55500
26464-83910,26464-83987,26464-83681,26464-83930,26464-83557,26464-84198,26464-83975,26464-83663,138.3,58500
26464-83910,26464-83564,26464-83681,26464-83916,26464-83573,26464-84198,26464-83576,26464-83663,138.2,59500
26464-83564,26464-83987,26464-83685,26464-83681,26464-83930,26464-84198,26464-83576,26464-83926,138.1,56000
26464-83910,26464-83564,26464-83681,26464-83557,26464-84156,26464-84198,26464-83975,26464-83663,138.0,56500
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-83975,26464-83576,26464-83926,137.9,59000
26464-83910,26464-83564,26464-83685,26464-83681,26464-83557,26464-83576,26464-83934,26464-83663,137.8,58500
26464-83910,26464-83564,26464-83681,26464-84156,26464-83928,26464-84198,26464-83975,26464-83663,137.7,59000
26464-83910,26464-83564,26464-83681,26464-83930,26464-84156,26464-83974,26464-83576,26464-83663,137.6,55500
26464-83910,26464-83564,26464-83681,26464-83930,26464-83684,26464-83975,26464-83974,26464-83926,137.5,59500
26464-83910,26464-83564,26464-83681,26464-83916,26464-83573,26464-84198,26464-83568,26464-83663,137.4,59500
26464-83910,26464-83564,26464-83685,26464-84156,26464-83928,26464-84198,26464-83974,26464-83663,137.3,59000
26464-83910,26464-83564,26464-83681,26464-83973,26464-84156,26464-84198,26464-83576,26464-83663,137.2,58500
26464-83564,26464-83987,26464-83685,26464-83681,26464-83930,26464-83975,26464-83974,26464-83926,137.1,57000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83573,26464-83975,26464-83576,26464-83926,137.0,58000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-83576,26464-83967,26464-83663,136.9,59000
26464-83910,26464-83564,26464-83685,26464-83930,26464-83684,26464-83974,26464-83576,26464-83926,136.8,60000
26464-83910,26464-83564,26464-83685,26464-83573,26464-84156,26464-84198,26464-83975,26464-83926,136.7,59000
26464-83910,26464-83564,26464-83681,26464-83573,26464-84156,26464-84198,26464-83974,26464-83663,136.6,57000
26464-83564,26464-83987,26464-83685,26464-83930,26464-83573,26464-84198,26464-83975,26464-83663,136.5,59000
26464-83910,26464-83564,26464-83681,26464-83930,26464-83573,26464-84198,26464-83967,26464-83926,136.4,56500
26464-83910,26464-83564,26464-83930,26464-83684,26464-84156,26464-84198,26464-83975,26464-83663,136.3,59500
26464-83910,26464-83564,26464-83681,26464-83930,26464-83973,26464-83974,26464-83576,26464-83926,136.2,57500
26464-83910,26464-83564,26464-83930,26464-83573,26464-84156,26464-84198,26464-83975,26464-83663,136.1,57500
26464-83910,26464-83564,26464-83681,26464-84156,26464-83928,26464-84198,26464-83974,26464-83663,136.0,57500
26464-83910,26464-83564,26464-83930,26464-83973,26464-83573,26464-84198,26464-83974,26464-83663,135.9,59000
