"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26463-83910","FWD","Robert","Robert Lewandowski","Lewandowski","0","0","12000","SEN@POL","POL","SEN","","","",""
"26463-83987","FWD","Mohamed","Mohamed Salah","Salah Ghaly","0","0","11000","EGY@RUS","EGY","RUS","GTD","Shoulder","",""
"26463-83314","FWD","Radamel","Falcao","Falcao","0","0","10500","JPN@COL","COL","JPN","","","",""
"26463-83304","MID","James","James Rodriguez","Rodriguez","0","0","10000","JPN@COL","COL","JPN","GTD","Undisclosed","",""
"26463-83684","MID","Aleksandr","Aleksandr Golovin","Golovin","56.79999923706055","1","10000","EGY@RUS","RUS","EGY","","","",""
"26463-83932","FWD","Arkadiusz","Arkadiusz Milik","Milik","0","0","9500","SEN@POL","POL","SEN","","","",""
"26463-83973","MID","Mahmoud Ibrahim","Trezeguet","Hassan","15.399999618530273","1","9000","EGY@RUS","EGY","RUS","","","",""
"26463-83564","FWD","Sadio","Sadio Mane","Mane","0","0","9000","SEN@POL","SEN","POL","","","",""
"26463-84278","MID","Juan","Juan Cuadrado","Cuadrado","0","0","8500","JPN@COL","COL","JPN","","","",""
"26463-83665","MID","Roman","Roman Zobnin","Zobnin","28.399999618530273","1","8500","EGY@RUS","RUS","EGY","","","",""
"26463-83928","MID","Grzegorz","Grzegorz Krychowiak","Krychowiak","0","0","8500","SEN@POL","POL","SEN","","","",""
"26463-83683","FWD","Fedor","Fedor Smolov","Smolov","6","1","8500","EGY@RUS","RUS","EGY","","","",""
"26463-83685","MID","Denis","Denis Cheryshev","Cheryshev","47.599998474121094","1","8500","EGY@RUS","RUS","EGY","","","",""
"26463-83531","FWD","Yuya","Yuya Osako","Osako","0","0","8000","JPN@COL","JPN","COL","","","",""
"26463-83567","FWD","Keita","Keita","Balde Diao","0","0","8000","SEN@POL","SEN","POL","","","",""
"26463-83573","MID","Idrissa","Idrissa Gueye","Gueye","0","0","8000","SEN@POL","SEN","POL","","","",""
"26463-83319","FWD","Luis","Luis Muriel","Muriel","0","0","8000","JPN@COL","COL","JPN","","","",""
"26463-83916","MID","Piotr","Piotr Zielinski","Zielinski","0","0","8000","SEN@POL","POL","SEN","","","",""
"26463-83972","MID","Abdallah Mahmoud","Abdallah El Said","El Said","5.199999809265137","1","7500","EGY@RUS","EGY","RUS","","","",""
"26463-84083","MID","Yuri","Yuri Gazinskiy","Gazinskiy","25.200000762939453","1","7500","EGY@RUS","RUS","EGY","","","",""
"26463-83316","MID","Carlos","Carlos Sanchez","Sanchez","0","0","7500","JPN@COL","COL","JPN","","","",""
"26463-84377","MID","Shinji","Shinji Kagawa","Kagawa","0","0","7500","JPN@COL","JPN","COL","","","",""
"26463-84148","MID","Jakub","Jakub Blaszczykowski","Blaszczykowski","0","0","7500","SEN@POL","POL","SEN","","","",""
"26463-83971","MID","Mohamed Naser","Mohamed Elneny","El Sayed Elneny","6.900000095367432","1","7000","EGY@RUS","EGY","RUS","","","",""
"26463-83985","MID","Amr Medhat","Amr Warda","Warda","9.899999618530273","1","7000","EGY@RUS","EGY","RUS","","","",""
"26463-83537","MID","Keisuke","Keisuke Honda","Honda","0","0","7000","JPN@COL","JPN","COL","","","",""
"26463-83560","MID","Papa Alioune","Badou Ndiaye","Ndiaye","0","0","7000","SEN@POL","SEN","POL","","","",""
"26463-83565","FWD","Moussa","Moussa Konate","Konate","0","0","7000","SEN@POL","SEN","POL","","","",""
"26463-84375","FWD","Shinji","Shinji Okazaki","Okazaki","0","0","7000","JPN@COL","JPN","COL","","","",""
"26463-83912","FWD","Lukasz","Lukasz Teodorczyk","Teodorczyk","0","0","7000","SEN@POL","POL","SEN","","","",""
"26463-83666","MID","Alan","Alan Dzagoev","Dzagoev","0","1","7000","EGY@RUS","RUS","EGY","GTD","Hamstring","",""
"26463-83681","MID","Aleksandr","Aleksandr Samedov","Samedov","6.900000095367432","1","7000","EGY@RUS","RUS","EGY","","","",""
"26463-83961","FWD","Marwan Mohsen","Marwan Mohsen","Fahmy Tharwat","5","1","7000","EGY@RUS","EGY","RUS","","","",""
"26463-83986","MID","Tarek","Tarek Hamed","Hamed","3.9000000953674316","1","6500","EGY@RUS","EGY","RUS","","","",""
"26463-83563","FWD","Diafra","Diafra Sakho","Sakho","0","0","6500","SEN@POL","SEN","POL","","","",""
"26463-83313","FWD","Carlos","Carlos Bacca","Bacca","0","0","6500","JPN@COL","COL","JPN","","","",""
"26463-83569","FWD","Moussa","Moussa Sow","Sow","0","0","6500","SEN@POL","SEN","POL","","","",""
"26463-84088","FWD","Artem","Artem Dzyuba","Dzyuba","30","1","6500","EGY@RUS","RUS","EGY","","","",""
"26463-83322","MID","Mateus","Mateus Uribe","Uribe","0","0","6500","JPN@COL","COL","JPN","","","",""
"26463-83324","MID","Abel","Abel Aguilar","Aguilar","0","0","6500","JPN@COL","COL","JPN","","","",""
"26463-84376","MID","Takashi","Takashi Inui","Inui","0","0","6500","JPN@COL","JPN","COL","","","",""
